,Author,Book,Filename,Optional years exist,Translated,Year,Years (optional),Scraped Year,Scraped Author
10015,Carey Rockwell and Louis Glanzman,Treachery in Outer Space,b'18786.txt',0,0,1954,1954,,
10016,H. Beam Piper and John J. McGuire,The Return,b'18855-8.txt',0,0,1954,1954,,
10017,Henry Beam Piper,Flight From Tomorrow,b'18460.txt',0,0,1954,,,1981
10018,Miguel de Unamuno,Tragic Sense Of Life,b'14636-8.txt',0,1,1954,1954,1954,
10019,Oswald Chettle Mazengarb et al.,Report of the Special Committee on Moral Delinquency in Children and Adolescents,b'14760-8.txt',0,0,1954,1954,,
10020,Carey Rockwell,Sabotage in Space,b'18520.txt',0,0,1955,1955,,
10021,H. Beam Piper,Time Crime,b'18151-8.txt',0,0,1955,1955,,1964
10022,Robert Carlton Brown,The Complete Book of Cheese,b'14293-8.txt',0,0,1955,1955,,
10023,Andre Norton,Plague Ship,b'16921.txt',0,0,1956,1956,,1958
10024,Edward Ruppelt,The Report on Unidentified Flying Objects,b'17346.txt',0,0,1956,1956,1956,
10025,Floyd L. Wallace,Mezzerow Loves Company,b'22319.txt',0,0,1956,1956,,
10026,[Titus Lucretius Carus] Lucretius,Of The Nature of Things,b'785.txt',0,1,1957,,1957,
10027,Andre Norton,Star Born,b'18458-8.txt',0,0,1957,1120,1957,
10028,Federal Bureau of Investigation,The Science of Fingerprints,b'19022-8.txt',0,0,1957,,1957,
10029,H. Beam Piper,Omnilingual,b'19445-8.txt',0,1,1957,1957,,1964
10030,Henry Beam Piper,The Edge of the Knife,b'18584.txt',1,0,1957,1957 1911,,1981
10031,Henry Beam Piper,The Keeper,b'19338.txt',0,0,1957,1957,,1981
10032,John L. Cotter,New Discoveries at Jamestown,b'16277.txt',1,0,1957,1957 1620 1699 1893 1934,,1900
10033,Shoghi Effendi,Messages to the BahÃ¡âÃ­ World: 1950â1957,b'19280-0.txt',0,0,1957,1957,,1941
10034,William Fitzgerald Jenkins,The Machine That Saved The World,b'26174-8.txt',0,1,1957,1957,,1959
10035,William Fitzgerald Jenkins,Operation Terror,b'17870.txt',0,0,1957,,,1959
10036,William Fitzgerald Jenkins,Operation: Outer Space,b'18361.txt',0,0,1957,,,1959
10037,Andre Norton,The Time Traders,b'19145.txt',0,0,1958,1958,1958,
10038,G. T. Alley and National Library Service (New Zealand),Report of the National Library Service for the Year Ended 31 March 1958,b'19780-8.txt',0,0,1958,1958,,
10039,Henry Beam Piper,Graveyard of Dreams,b'18109.txt',0,0,1958,1958,,1981
10040,John Foster Dulles and Dwight D. Eisenhower,The Communist Threat in the Taiwan Area,b'16142.txt',0,0,1958,1958,,
10041,Norman F. Langford,The King Nobody Wanted,b'19087.txt',0,0,1958,,1958,
10042,Alan Nourse,Star Surgeon,b'18492-8.txt',0,0,1959,1959,1986,1976
10043,Andre Norton,Voodoo Planet,b'18846.txt',0,0,1959,1959,,1958
10044,E. Everett Evans,Man of Many Minds,b'19660-8.txt',0,0,1959,1959,,
10045,Edward Elmer Smith,The Galaxy Primes,b'20898.txt',0,0,1959,1959,,1976
10046,Emil K. Urban,"Birds from Coahuila, Mexico",b'26076-8.txt',0,0,1959,1959,,
10047,Everett B. Cole,The Best Made Plans,b'22892.txt',0,0,1959,1959,,
10048,Frances Cavanah,Abe Lincoln Gets His Chance,b'17315-8.txt',0,0,1959,1959,1959,
10049,George Oliver Smith,The Fourth R,b'18602-8.txt',0,0,1959,1959,,
10050,Henry Beam Piper,The Answer,b'18342.txt',0,0,1959,1959,,1981
10051,Henry Beam Piper,Crossroads of Destiny,b'18632-8.txt',1,0,1959,1959 1492,,1981
10052,Henry Beam Piper and John J. McGuire,Hunter Patrol,b'18641-8.txt',0,0,1959,1959,,
10053,Andre Norton,Storm Over Warlock,b'20788-8.txt',0,0,1960,1960,1960,
10054,E. E. Smith,Subspace Survivors,b'21647.txt',0,0,1960,1960,,1987
10055,Edgar Pangborn,The Good Neighbors,b'26536.txt',0,0,1960,1960,,1978
10056,Fredric Brown,Earthmen Bearing Gifts,b'26521.txt',0,0,1960,1960,,1955
10057,Hazel Hutchins Wilson,Jerry's Charge Account,b'27211-8.txt',0,0,1960,1960,1960,
10058,Robert Sheckley,The Status Civilization,b'20919-8.txt',0,0,1960,1960,,1987
10059,Titus Livius,The History of Rome; Books Nine to Twenty-Six,b'10907-8.txt',0,1,1960,,1960,
10060,Titus Livius,"History of Rome, Vol III",b'12582-8.txt',0,0,1960,,,1481
10061,Titus Livius,"The History of Rome, Books 01 to 08",b'19725-0.txt',0,1,1960,,,1481
10062,Andre Alice Norton,Star Hunter,b'19090-8.txt',1,0,1961,1120 1961,,
10063,Henry Beam Piper,Four-Day Planet,b'19478-8.txt',0,0,1961,1961,1961,
10064,John Stewart Williamson,The Cosmic Express,b'26066-8.txt',0,0,1961,1961,,1948
10065,Marion Zimmer Bradley,The Door Through Space,b'19726-8.txt',1,0,1961,1120 1961,,
10066,Sami Hamarneh,Drawings and Pharmacy in Al-Zahrawi's 10th-Century Surgical Treatise,b'26038-0.txt',1,1,1961,1961 1013 1187 1037,,
10067,Victor Appleton,Tom Swift and the Electronic Hydrolung,b'19258.txt',0,0,1961,1961,,1911
10068,Gordon Randall Garrett,Nor Iron Bars a Cage....,b'30832.txt',0,0,1962,1962,,1963
10069,Harry Harrison,Planet of the Damned,b'21873-8.txt',0,0,1962,1962,,1966
10070,Henry Beam Piper,Little Fuzzy,b'18137.txt',0,0,1962,,1962,
10071,Andre Alice Norton,Key Out of Time,b'19651-8.txt',0,0,1963,1963,1963,
10072,Jacob Grimm and Wilhelm Grimm,Household Stories by the Brothers Grimm,b'19068.txt',1,0,1963,1963 1886,,2005
10073,Marion Zimmer Bradley,The Colors of Space,b'20796-8.txt',0,0,1963,1963,,1964
10074,Rick Raphael,Code Three,b'19111.txt',0,0,1963,1963,,1980
10075,Terry Gene Carr,Warlord of Kor,b'17958-8.txt',0,0,1963,1120,,
10076,Edgar Rice Burroughs,The Mad King,b'364.txt',0,0,1964,,1964,
10077,M. Y. Lermontov,A Hero of Our Time,b'913.txt',0,1,1964,,1964,
10078,John A. Morrison,The Deacon of Dobbinsville,b'12512.txt',0,0,1965,1965,,1966
10079,George Tobias Flom,Scandinavian influence on Southern Lowland Scotch,b'14604-0.txt',1,0,1966,1966 1900,,1906
10080,John D. Lynch,"Systematic Status of a South American Frog, Allophryne ruthveni Gaige",b'31293-8.txt',0,0,1966,1966,,1997
10081,Johan M. Snoek,The Grey Book,b'14764.txt',0,0,1969,1969,,
10082,Lester del Rey,The Sky Is Falling,b'18768-8.txt',1,0,1969,1120 1954,,
10083,Wolfram Eberhard,"A history of China., [3d ed. rev. and enl.]",b'17695-0.txt',1,0,1969,1969 1600 1028,,1967
10084,John L. Ferguson,Arkansas Governors and United States Senators,b'17433.txt',1,0,1970,1970 1819 1776 1770,,
10085,Barbara R. Sims,Japan Will Turn Ablaze!,b'19236-0.txt',1,1,1971,1971 1901 1902 1976,,
10086,Gordon Randall Garrett,Cum Grano Salis,b'25234.txt',0,0,1972,,,1963
10087,Gordon Randall Garrett,Hail to the Chief,b'26109.txt',0,0,1972,,,1963
10088,A. Marie Miles,The Key To Peace,b'12188.txt',0,0,1973,1973,,
10089,Lester del Rey,Badge of Infamy,b'19471-8.txt',1,0,1973,1973 1120 1963,,1963
10090,Arthur Train,The Man Who Rocked the Earth,b'19174-8.txt',1,1,1974,1974 1915 1945 1868 1955 1914,,1906
10091,Scott Nearing,Civilization and Beyond,b'12320-8.txt',0,0,1975,1975,,1925
10092,Stephen Oliver,Deadly Pollen,b'11522.txt',1,0,1975,1975 1828,,1861
10093,George Griffith,The Mummy and Miss Nitocris,b'19231-8.txt',1,0,1976,1976 1906,,1894
